"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","superphylum","phylum","subphylum","class","subclass","order","below_order","below_below_order","suborder","family","below_family","genus","species_group","species","below_species","below_below_species","subspecies","below_subspecies"
"39948","31977","genus","Dialister","1","131567","2","","","","1239","","909932","","909929","","","","31977","","39948","","","","","",""
"204037","543","genus","Dickeya","1","131567","2","","","","1224","","1236","","91347","","","","543","","204037","","","","","",""
"84111","84107","genus","Eggerthella","1","131567","2","","","","201174","","1760","84998","84999","","","255727","84107","","84111","","","","","",""
"547","543","genus","Enterobacter","1","131567","2","","","","1224","","1236","","91347","","","","543","","547","","","","","",""
"561","543","genus","Escherichia","1","131567","2","","","","1224","","1236","","91347","","","","543","","561","","","","","",""
"1730","186806","genus","Eubacterium","1","131567","2","","","","1239","","186801","","186802","","","","186806","","1730","","","","","",""
"216851","541000","genus","Faecalibacterium","1","131567","2","","","","1239","","186801","","186802","","","","541000","","216851","","","","","",""
"150022","543310","genus","Finegoldia","1","131567","2","","","","1239","","186801","","186802","538999","","","543310","","150022","","","","","",""
"237","49546","genus","Flavobacterium","1","131567","2","","","68336","976","","117743","","200644","","","","49546","","237","","","","","",""
"848","203492","genus","Fusobacterium","1","131567","2","","","","32066","","203490","","203491","","","","203492","","848","","","","","",""
"2701","31953","genus","Gardnerella","1","131567","2","","","","201174","","1760","85003","85004","","","","31953","","2701","","","","","",""
"1378","539738","genus","Gemella","1","131567","2","","","","1239","","91061","","1385","539002","539738","","","","1378","","","","","",""
"724","712","genus","Haemophilus","1","131567","2","","","","1224","","1236","","135625","","","","712","","724","","","","","",""
"428711","649777","genus","Jonquetella","1","131567","2","","","","508458","","649775","","649776","","","","649777","","428711","","","","","",""
"570","543","genus","Klebsiella","1","131567","2","","","","1224","","1236","","91347","","","","543","","570","","","","","",""
"57493","1268","genus","Kocuria","1","131567","2","","","","201174","","1760","85003","2037","","","85006","1268","","57493","","","","","",""
"1578","33958","genus","Lactobacillus","1","131567","2","","","","1239","","91061","","186826","","","","33958","","1578","","","","","",""
"906","31977","genus","Megasphaera","1","131567","2","","","","1239","","909932","","909929","","","","31977","","906","","","","","",""
"359407","32011","genus","Methylotenera","1","131567","2","","","","1224","","28216","","206350","","","","32011","","359407","","","","","",""
"2050","279916","genus","Mobiluncus","1","131567","2","","","","201174","","1760","85003","2037","","","85005","2049","279916","2050","","","","","",""
"437755","186803","genus","Moryella","1","131567","2","","","","1239","","186801","","186802","","","","186803","","437755","","","","","",""
