"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","superphylum","phylum","subphylum","class","order","below_order","below_below_order","family","below_family","genus","below_genus","species_group","species_subgroup","species","below_species","below_below_species","subspecies","below_subspecies"
"541000","186802","family","Ruminococcaceae","1","131567","2","","","1239","","186801","186802","","","541000","","","","","","","","","",""
"41297","204457","family","Sphingomonadaceae","1","131567","2","","","1224","","28211","204457","","","41297","","","","","","","","","",""
"90964","1385","family","Staphylococcaceae","1","131567","2","","","1239","","91061","1385","","","90964","","","","","","","","","",""
"1300","186826","family","Streptococcaceae","1","131567","2","","","1239","","91061","186826","","","1300","","","","","","","","","",""
"31977","909929","family","Veillonellaceae","1","131567","2","","","1239","","909932","909929","","","31977","","","","","","","","","",""
"32033","135614","family","Xanthomonadaceae","1","131567","2","","","1224","","1236","135614","","","32033","","","","","","","","","",""
"1113537","809","below_family","Chlamydia/Chlamydophila group","1","131567","2","","51290","204428","","204429","51291","","","809","1113537","","","","","","","","",""
"469","468","genus","Acinetobacter","1","131567","2","","","1224","","1236","72274","","","468","","469","","","","","","","",""
"76833","2049","genus","Actinobaculum","1","131567","2","","","201174","","1760","2037","","","2049","","76833","","","","","","","",""
"1654","2049","genus","Actinomyces","1","131567","2","","","201174","","1760","2037","","","2049","","1654","","","","","","","",""
"1653174","2049","genus","Actinotignum","1","131567","2","","","201174","","1760","2037","","","2049","","1653174","","","","","","","",""
"1375","186827","genus","Aerococcus","1","131567","2","","","1239","","91061","186826","","","186827","","1375","","","","","","","",""
"419014","31953","genus","Alloscardovia","1","131567","2","","","201174","","1760","85004","","","31953","","419014","","","","","","","",""
"165779","1570339","genus","Anaerococcus","1","131567","2","","","1239","","186801","186802","","","1570339","","165779","","","","","","","",""
"1663","1268","genus","Arthrobacter","1","131567","2","","","201174","","1760","85006","","","1268","","1663","","","","","","","",""
"1380","1643824","genus","Atopobium","1","131567","2","","","201174","","84998","84999","","","1643824","","1380","","","","","","","",""
"1386","186817","genus","Bacillus","1","131567","2","","","1239","","91061","1385","","","186817","","1386","","","","","","","",""
"816","815","genus","Bacteroides","1","131567","2","","68336","976","","200643","171549","","","815","","816","","","","","","","",""
"397864","171551","genus","Barnesiella","1","131567","2","","68336","976","","200643","171549","","","171551","","397864","","","","","","","",""
"59735","49546","genus","Bergeyella","1","131567","2","","68336","976","","117743","200644","","","49546","","59735","","","","","","","",""
"1678","31953","genus","Bifidobacterium","1","131567","2","","","201174","","1760","85004","","","31953","","1678","","","","","","","",""
"572511","186803","genus","Blautia","1","131567","2","","","1239","","186801","186802","","","186803","","572511","","","","","","","",""
"1696","85019","genus","Brevibacterium","1","131567","2","","","201174","","1760","85006","","","85019","","1696","","","","","","","",""
"194","72294","genus","Campylobacter","1","131567","2","","","1224","68525","29547","213849","","","72294","","194","","","","","","","",""
"810","1113537","genus","Chlamydia","1","131567","2","","51290","204428","","204429","51291","","","809","1113537","810","","","","","","","",""
"544","543","genus","Citrobacter","1","131567","2","","","1224","","1236","91347","","","543","","544","","","","","","","",""
"1716","1653","genus","Corynebacterium","1","131567","2","","","201174","","1760","85007","","","1653","","1716","","","","","","","",""
"39948","31977","genus","Dialister","1","131567","2","","","1239","","909932","909929","","","31977","","39948","","","","","","","",""
"37914","85029","genus","Dietzia","1","131567","2","","","201174","","1760","85007","","","85029","","37914","","","","","","","",""
"84111","1643826","genus","Eggerthella","1","131567","2","","","201174","","84998","1643822","","","1643826","","84111","","","","","","","",""
